titleId,originalTitle,releaseYear,mainCountry,firstLanguage,genres,imdbRating,numberOfVotes,arthouse_score
tt0300691,Zeit der Titanen,2001.0,CH,it,Documentary,7.2,10.0,2
tt9249616,Amor de Perdição,1979.0,PT,pt,Drama,7.8,139.0,6
tt0047793,A 9-es kórterem,1955.0,HU,hu,"Drama, Romance",7.2,58.0,6
tt7274546,Das System Milch,2017.0,DE,de,Documentary,7.0,613.0,7
tt0030780,Spiegel des Lebens,1938.0,AT,de,"Drama, Romance",7.1,26.0,4
tt0092880,La deuda interna,1988.0,GB,es,"Drama, War",7.2,223.0,7
tt0250970,Aux jardins de Murcie,1936.0,FR,fr,Drama,7.3,9.0,4
tt0242562,Jugendliebe,1947.0,DE,de,Drama,7.4,15.0,3
tt2880668,64 Day Hero,1986.0,GB,en,Documentary,7.0,35.0,6
tt0073219,Le juge et l'assassin,1976.0,FR,fr,"Crime, Drama, History",7.3,2404.0,10
tt0095632,Mielött befejezi röptét a denevér,1989.0,HU,hu,"Drama, Thriller",7.1,239.0,7
tt4591784,Knox,2015.0,GB,en,Documentary,7.5,24.0,4
tt1965067,Somateio rakosyllekton,2011.0,GR,el,"Documentary, News",8.2,10.0,3
tt31241222,Last Shooting,2023.0,UA,uk,"Documentary, Biography, Crime, Drama, History, News, Romance, War",8.2,16.0,4
tt0027753,Ein Hochzeitstraum,1936.0,DE,de,Comedy,7.2,11.0,2
tt9493232,Se ti abbraccio non aver paura,2021.0,IT,it,Documentary,7.8,6.0,5
tt1174732,An Education,2009.0,GB,en,Drama,7.2,139104.0,8
tt0112859,Devils Don't Dream!,1995.0,CH,es,Documentary,7.6,12.0,6
tt0183320,Juhannustarinoita,1997.0,FI,fi,Drama,7.0,25.0,4
tt0028017,Mädchenpensionat,1936.0,AT,de,Drama,7.0,7.0,3
tt0049438,Liebe,1956.0,IT,de,Drama,7.0,16.0,2
tt0086318,Skønheden og udyret,1983.0,DK,da,Drama,7.0,640.0,6
tt24514040,Les âmes perdues,2022.0,FR,fr,Documentary,7.7,21.0,5
tt8469104,Qingchun,2023.0,FR,zh,Documentary,7.1,434.0,6
tt0483179,El telón de azúcar,2005.0,FR,es,"Documentary, History",7.5,94.0,10
tt12015604,The Long River Slides,2019.0,NL,nl,Documentary,7.8,13.0,4
tt10986224,Leonardo: The Works,2019.0,GB,en,Documentary,7.6,105.0,6
tt0031474,Ihr erstes Erlebnis,1939.0,DE,de,Romance,8.1,14.0,3
tt0366732,Lucia di Lammermoor,1971.0,IT,it,"Drama, Musical",7.9,33.0,4
tt0781436,La niebla en las palmeras,2006.0,ES,es,Documentary,7.5,24.0,5
tt4312028,Flow,2014.0,ES,es,"Drama, Family",7.5,13.0,3
tt0346947,Eres mi héroe,2003.0,ES,es,"Comedy, Drama",7.0,390.0,7
tt5495694,El arquitecto de Nueva York,2016.0,ES,es,Documentary,7.7,11.0,3
tt3710822,Juego de niños,1999.0,ES,es,"Animation, Action, Sci-Fi",8.7,18.0,2
tt5338644,Madame Hyde,2017.0,FR,fr,"Comedy, Drama, Sci-Fi",5.1,1679.0,9
tt0432872,Grenze,2004.0,DE,de,Documentary,8.3,17.0,3
tt5278928,Sonita,2015.0,DE,en,"Documentary, Biography, Music",7.6,895.0,7
tt0379189,The Bowler and the Bunnet,1967.0,GB,en,Documentary,7.9,72.0,7
tt3263690,Om våld,2014.0,SE,en,"Documentary, Drama, History, War",7.5,813.0,8
tt1101040,De poetsprins,2007.0,GB,zxx,"Animation, Adventure, Comedy, Family",7.2,20.0,4
tt13328226,"Eu, Amália",2020.0,PT,pt,Documentary,7.6,5.0,3
tt2263058,More Than Honey,2012.0,CH,de,Documentary,7.5,4346.0,10
tt1853713,The Pirates of Somalia: The Untold Story,2011.0,SE,en,Documentary,7.2,15.0,3
tt0135432,Golfo,1955.0,GR,el,"Drama, Romance",7.0,69.0,6
tt0095561,Macao oder die Rückseite des Meeres,1988.0,CH,gsw,Fantasy,7.5,38.0,8
tt5847768,The Tower,2018.0,FR,fr,"Animation, Drama",7.1,642.0,7
tt1492837,Festival panafricain d'Alger,1969.0,FR,fr,"Documentary, Musical",7.0,56.0,6
tt6369682,Osporena secanja i zamrznuti konflikt,2016.0,RS,sr,Documentary,7.0,9.0,2
tt0109746,Esti Kornél csodálatos utazása,1995.0,HU,hu,"Drama, Fantasy, Romance",7.0,94.0,7
tt1047639,Leben in der Stadt von Morgen,2007.0,DE,de,Documentary,8.4,7.0,3
tt14572068,Trek IT!,2021.0,IT,it,Documentary,8.3,20.0,5
tt15434060,La vera storia di Luisa Bonfanti,2021.0,IT,it,"Documentary, Biography, Comedy, History, Musical",8.5,30.0,5
tt0338527,Vaterland,2002.0,DE,de,Documentary,7.2,24.0,5
tt1221924,Palnan tyttäret,2008.0,FI,fi,Documentary,7.1,24.0,6
tt7746496,We Are Not Princesses,2018.0,GB,ar,Documentary,8.2,19.0,5
tt0133898,Klein Dorrit,1934.0,DE,de,Drama,7.3,18.0,2
tt3698616,Hannah: Buddhism's Untold Journey,2014.0,GB,en,"Documentary, Biography, History",7.4,192.0,6
tt0089849,La présence réelle,1984.0,FR,fr,,7.5,26.0,9
tt6655174,Kreatura,2017.0,DE,ru,Documentary,7.4,6.0,3
tt0170146,Lebanon in a Whirlwind,1975.0,FR,fr,Documentary,7.6,8.0,3
tt9803388,Pohjankävijäin merkintöjä,2019.0,FI,fi,Documentary,7.0,7.0,6
tt5669930,Whatever Happened to Gelitin,2016.0,AT,de,Documentary,7.9,9.0,3
tt2989348,A City Dreaming,2014.0,GB,,Documentary,9.0,13.0,5
tt0135504,To kleidi tis eftyhias,1953.0,GR,el,"Drama, Romance",7.1,19.0,3
tt0265524,La pianiste,2001.0,FR,fr,"Drama, Music",7.5,73583.0,6
tt0435392,"Sida, la peste del siglo XX",1986.0,ES,es,Drama,7.0,20.0,5
tt1180741,La Chambre des phantasmes,1979.0,FR,fr,Adult,8.8,8.0,3
tt0194901,Frisky Summer 3,1998.0,SK,cs,Adult,8.8,23.0,3
tt4654184,Die Reise mit Vater,2016.0,DE,de,"Comedy, Drama",7.1,667.0,8
tt0391309,Lyubovni sanishta,1994.0,BG,bg,Drama,7.1,30.0,4
tt11092776,Mario Botta. The Space Beyond,2018.0,CH,it,Documentary,7.2,13.0,4
tt11744472,Mijn Rembrandt,2019.0,NL,en,Documentary,7.0,452.0,11
tt9308382,The High Note,2020.0,GB,en,"Drama, Music, Romance",6.4,13884.0,7
tt0038132,Der stumme Gast,1945.0,DE,de,,7.8,20.0,4
tt2774228,Lykkens grøde,2008.0,NO,no,Documentary,8.1,16.0,4
tt0443194,Pork and Milk,2004.0,FR,he,Documentary,7.2,22.0,5
tt26670474,Hitlers tyske flygtninge i Danmark,2023.0,DK,da,"Documentary, History",8.1,16.0,4
tt3140100,Fasandræberne,2014.0,DK,da,"Crime, Drama, Mystery, Thriller",7.1,26999.0,8
tt0097475,A halálraítélt,1990.0,HU,hu,Drama,7.3,32.0,5
tt9404752,Champán para todos,2018.0,ES,es,Documentary,7.0,7.0,4
tt1262929,"Max Frisch, citoyen",2008.0,CH,de,Documentary,7.2,29.0,4
tt0218574,Sam's Boy,1922.0,GB,zxx,Comedy,7.2,14.0,5
tt18213362,The Last Artisans of Venice,2022.0,DE,de,Documentary,7.4,9.0,6
tt0351763,Snaha,1976.0,BG,bg,Drama,7.8,31.0,3
tt21154148,Another spring,2022.0,RS,sr,Documentary,7.1,30.0,5
tt0483142,Roba forestiera,2004.0,DE,it,Documentary,7.2,8.0,3
tt0025291,"Ich für dich, du für mich",1934.0,DE,de,Drama,7.0,15.0,2
tt0391931,Dnevnikat na edin lud,1996.0,BG,bg,Comedy,8.0,29.0,4
tt2157099,Yama No Anata,2011.0,PT,,Documentary,7.6,29.0,4
tt4658722,Il ghetto di Venezia. 500 anni di vita,2015.0,IT,en,"Documentary, Family, History",7.0,8.0,7
tt2819148,Rapunzel Nabunzel,2014.0,ES,es,"Comedy, Drama, Fantasy, Music, Romance",7.6,21.0,5
tt8984670,Hondar 2050,2018.0,ES,es,Documentary,8.2,10.0,4
tt0442289,Kate - La bisbetica domata,2004.0,IT,it,"Animation, Comedy, Romance",7.3,20.0,5
tt7363336,Nothing Like a Dame,2018.0,GB,en,Documentary,7.4,3117.0,8
tt13678478,Lost and Spaced,2020.0,GB,en,Comedy,7.8,24.0,7
tt1045772,I Love You Phillip Morris,2009.0,FR,en,"Biography, Comedy, Crime, Drama, Romance",6.6,100956.0,8
tt11895902,Sang froid,2020.0,BE,fr,Drama,7.4,8.0,2
tt2130320,We Have to Do Something,2011.0,GB,,"Animation, War",7.0,11.0,2
tt0028966,Gueule d'amour,1937.0,FR,fr,"Drama, Romance, War",7.3,794.0,8
tt17799796,A Taste of Whale,2022.0,FR,en,Documentary,7.1,48.0,6
tt5427450,Mali Blues,2016.0,DE,fr,"Documentary, Music",7.2,124.0,7
tt0951379,Rejoice,2004.0,PL,en,Documentary,8.0,11.0,4
tt1499660,Hugo en Afrique,2009.0,CH,fr,Documentary,7.2,22.0,3
tt0018819,Decameron Nights,1924.0,GB,zxx,"Drama, Romance",8.0,14.0,3
tt0044977,Nous sommes tous des assassins,1952.0,FR,fr,"Crime, Drama",7.2,419.0,7
tt0113247,La haine,1995.0,FR,fr,"Crime, Drama",8.1,205537.0,9
tt0479377,Dragues,1978.0,FR,fr,Adult,7.0,8.0,2
tt0114295,Rome désolée,1995.0,FR,fr,,7.5,32.0,4
tt0123818,Eldorado,1921.0,FR,zxx,Drama,7.1,501.0,6
tt1667146,Voices of the Andes,2009.0,FR,es,"Documentary, History",7.3,25.0,5
tt0112938,Ekmek Parasi - Geld fürs Brot,1994.0,DE,de,Documentary,7.7,19.0,4
tt17079116,Diary of a Bride of Christ,2022.0,UA,uk,Documentary,7.3,16.0,4
tt1093812,Callas assoluta,2007.0,FR,fr,"Documentary, Music",7.5,103.0,7
tt14147174,Zwei ist eine gute Zahl,2021.0,DE,de,Drama,7.1,28.0,4
tt2202104,Cielo e sabbia,2012.0,IT,it,"Documentary, Biography, History",8.5,11.0,3
tt0217280,"Berlin, Bahnhof Friedrichstraße, 1990",1991.0,DE,de,Documentary,8.4,6.0,4
tt3907210,Amori e metamorfosi,2014.0,IT,it,"Drama, Romance",9.0,17.0,6
tt5139182,MonaLisa Story,2015.0,DK,sv,"Documentary, Drama",7.1,59.0,6
tt1992156,Il futuro,2013.0,IT,it,Drama,5.9,1168.0,7
