titleId,tmdb_id,budget,revenue,tmdb_popularity,tmdb_vote_average,tmdb_vote_count,original_language,tagline,status,spoken_languages,production_countries
tt0435670,9785.0,30000000.0,26810113.0,2.2048,6.353,572.0,en,"Life, death and something in between.",Released,English,"CA, US"
tt0084719,30874.0,0.0,0.0,1.28,6.25,324.0,it,Slashing up women was his pleasure.,Released,"Italian, English, Spanish",IT
tt2872732,240832.0,40000000.0,469058574.0,10.1741,6.471,16889.0,en,The average person uses 10% of their brain capacity. Imagine what she could do with 100%.,Released,"Mandarin, English, French, Spanish, Korean",FR
tt0304141,673.0,130000000.0,789804554.0,16.1298,8.008,22917.0,en,Something wicked this way comes.,Released,English,"GB, US"
tt0068909,45793.0,12000000.0,11500000.0,0.8698,6.5,68.0,en,"Peter O'Toole, Sophia Loren and James Coco dream 'The Impossible Dream' in...",Released,English,"US, IT"
tt1244668,31175.0,4000000.0,18164139.0,1.1237,6.869,580.0,de,Life is what happens when you're busy making other plans.,Released,"German, Greek","FR, DE, IT"
tt1337412,,,,,,,,,,,
tt1057581,19713.0,500000.0,0.0,0.4338,4.8,40.0,en,,Released,English,GB
tt0371878,48643.0,0.0,0.0,1.4552,6.5,17.0,en,What's Wrong with Love?,Released,English,GB
tt22498452,1075365.0,0.0,0.0,0.3369,5.929,14.0,nl,,Released,"Polish, English, Dutch",NL
tt0057197,11533.0,3000000.0,2100000.0,2.4295,7.2,676.0,en,The epic story that was destined to stand as a colossus of adventure!,Released,English,US
tt27131358,1100099.0,20000000.0,37182814.0,4.6981,7.236,1210.0,en,Every minute counts.,Released,English,GB
tt15599574,,,,,,,,,,,
tt0117604,127674.0,0.0,0.0,0.2848,4.278,9.0,en,,Released,English,US
tt0109327,14237.0,0.0,4352094.0,1.0027,6.15,277.0,en,Wanna play? I dare you.,Released,English,"GB, US"
tt7917178,744746.0,350000.0,0.0,4.0739,6.292,209.0,en,,Released,English,"IE, GB"
tt0062820,220825.0,0.0,0.0,0.2872,4.5,4.0,en,The mystery film of the 1960's,Released,English,GB
tt0910554,22494.0,0.0,23820.0,2.5437,6.867,660.0,en,Three guys. One pub. Too much time on their hands.,Released,English,GB
tt1877832,127585.0,250000000.0,748045700.0,10.2257,7.529,16089.0,en,"To save the future, they must alter the past.",Released,"English, French, Russian, Vietnamese",US
tt5747400,,,,,,,,,,,
tt0144178,108346.0,2000000.0,0.0,1.0342,6.0,9.0,en,,Released,English,"GB, US"
tt0071783,201272.0,0.0,0.0,0.5721,3.3,12.0,it,,Released,Italian,IT
tt0351259,121205.0,70000.0,0.0,0.1584,5.8,6.0,fi,,Released,Finnish,FI
tt0073594,48855.0,0.0,0.0,2.4707,6.5,92.0,it,,Released,Italian,IT
